"entrezgene_id"	"V2"
9452	109724.706022
4898	438422.764886
7419	353338.637573
5108	382752.275827
57690	32430.8816834
9139	89199.2353584
1620	202634.716067
83737	257143.6817
27039	187.221873131
58476	147457.018889
51150	730115.209744
57644	3441.662561
80341	0
7161	2876.76111048
54472	394147.604541
51619	105789.177173
27098	17440.9880206
862	2359.95003878
1015	2605.31642731
9984	39317.2172765
51661	64958.6348316
114880	3817.47779116
6507	21042.7822591
7520	1769129.59746
56925	156581.843457
11262	5826.3500583
8569	54873.7566259
7145	462933.987521
57455	110701.171418
56681	430405.810142
8556	57754.7699252
10411	175531.759835
634	41475.5082918
29843	63643.9236937
51207	26555.4835916
23152	376724.701856
3991	67658.9137342
2222	258451.482084
5050	307366.067717
4983	26093.3428432
173	0
3835	282232.675284
10590	391.87736198
55604	112732.147266
5236	605540.493169
1653	768188.001513
1785	207628.012771
2037	79035.1281602
22999	113.536567574
26002	56507.1904371
8417	101164.694204
11158	74400.8879627
9817	557985.746348
55510	620.693534507
5794	467.925385955
1638	1231.89659383
51006	236132.44589
131544	202939.979365
285220	1015.48001192
6344	5085.48380432
5991	21787.0340174
55183	72043.8033358
23011	170397.006011
8671	10384.3985699
6595	420382.213406
50700	290.236007223
27244	194778.200577
11043	102106.892274
139212	300.757250364
50509	141146.736573
10847	299708.3459
9933	196841.287326
1361	493.007003781
1136	365.642550128
3781	1235.66436267
4850	78994.9510547
5663	266297.036727
1371	73743.81549
56650	169987.340702
